"transcript","gene","bp","all","synonymous","missense","nonsense","splice-site","frame-shift","F","M","P_LGDS","P_MISSENSE","P_SYNONYMOUS"
"NM_017991","KANSL3",2376,-4.5645,-5.1407,-4.7163,-6.1006,-99,-5.8225,2,2,2.29810510623E-06,1.92176376292E-05,7.23269247777E-06
"NM_003936","CDK5R2",1104,-4.6462,-5.0965,-4.8514,-6.341,-7.6347,-6.1553,2,2,1.17858560519E-06,1.40799139304E-05,8.00755628507E-06
"NM_004622","TSN",687,-4.9754,-5.5465,-5.1689,-6.2003,-6.512,-6.3614,2,2,1.37324226366E-06,0.000006778,2.84118818498E-06
"NM_201555","FHL2",840,-4.8665,-5.4184,-5.0359,-6.4228,-6.7434,-6.274,2,2,1.090405411E-06,9.20661537502E-06,3.81592649119E-06
"NM_144709","PUS10",1590,-4.7162,-5.3037,-4.8993,-6.0975,-6.0849,-5.9969,2,2,2.62850949191E-06,1.26095619599E-05,4.9693547378E-06
"NM_020120","UGGT1",4668,-4.2186,-4.7806,-4.4024,-5.6061,-5.7483,-5.5292,2,2,7.21875617996E-06,3.95913216728E-05,0.000016573
"NM_178495","ITPRIPL1",1692,-4.61,-5.192,-4.7667,-6.0198,-7.5174,-5.9699,2,2,2.05757939329E-06,0.000017112,6.42687717317E-06
"NM_005843","STAM2",1578,-4.7256,-5.2934,-4.9025,-6.2169,-6.2391,-6.0002,2,2,0.000002183,0.000012517,5.08861975956E-06
"NM_002252","KCNS3",1476,-4.6379,-5.1573,-4.8166,-6.1711,-6.9644,-6.0292,2,2,1.71789027778E-06,1.52545710489E-05,6.96145467729E-06
"NM_194250","ZNF804A",3630,-4.3921,-4.9614,-4.5571,-5.7609,-6.8644,-5.6384,2,2,4.17017332194E-06,2.77268159761E-05,1.09294925908E-05
"NM_173355","UPP2",954,-4.8727,-5.4359,-5.0424,-6.4199,-6.5678,-6.2188,2,2,0.000001255,9.06984781506E-06,3.66521959732E-06
"NM_001349","DARS",1506,-4.6784,-5.286,-4.8521,-6.0277,-6.1056,-6.0205,2,2,2.67625515893E-06,1.40572380699E-05,5.17606831951E-06
"NM_024843","CYBRD1",861,-4.8768,-5.3925,-5.0654,-6.3173,-6.8853,-6.2633,2,2,1.15722267929E-06,0.000008602,4.05041945136E-06
"NM_144710","SEPT10",1365,-4.7644,-5.3617,-4.9276,-6.1906,-6.4226,-6.0632,2,2,1.88725262664E-06,1.18140825192E-05,4.34810476893E-06
"NM_144713","FAM82A1",1722,-4.6965,-5.3156,-4.8546,-6.081,-6.3467,-5.9623,2,2,2.37062808318E-06,1.3976550563E-05,0.000004835
"NM_021192","HOXD11",1017,-4.9205,-5.4097,-5.1047,-6.6605,-7.6605,-6.191,2,2,8.84546140677E-07,7.85778243559E-06,3.89313980702E-06
"NM_174898","LYG1",585,-5.1001,-5.6772,-5.2824,-6.3712,-6.747,-6.4312,2,2,0.000000975,5.21915265835E-06,2.10280983704E-06
"NM_175735","LYG2",639,-5.0009,-5.5252,-5.189,-6.4867,-6.7491,-6.3928,2,2,0.000000909,6.47142615749E-06,0.000002984
"NM_002664","PLEK",1053,-4.8887,-5.4732,-5.0631,-6.276,-6.4396,-6.1759,2,2,0.00000156,8.6476877548E-06,3.36356635748E-06
"NM_016047","SF3B14",378,-5.2679,-5.8347,-5.4599,-6.7161,-6.5973,-6.6208,2,2,6.84461856712E-07,3.46816698755E-06,1.4631875596E-06
"NM_000817","GAD1",1785,-4.5507,-5.0883,-4.7334,-6.0823,-6.1808,-5.9467,2,2,2.61742458462E-06,1.84756616377E-05,8.1601849102E-06
"NM_014746","RNF144A",879,-4.8299,-5.3376,-5.0319,-6.3088,-6.4063,-6.2543,2,2,1.44030879075E-06,9.29180313824E-06,4.59621144666E-06
"NM_182915","STEAP3",1497,-4.5173,-5.0069,-4.703,-6.2846,-6.7389,-6.0231,2,2,1.64990977038E-06,1.98152702581E-05,9.84237708779E-06
"NM_022893","BCL11A",2508,-4.2684,-4.721,-4.4719,-6.055,-6.6106,-5.799,2,2,2.71472761676E-06,3.37364980874E-05,1.90107827992E-05
"NM_198182","GRHL1",1857,-4.604,-5.1514,-4.7883,-5.9789,-6.3118,-5.9295,2,2,2.71378816421E-06,1.62817094345E-05,7.05667311248E-06
"NM_003855","IL18R1",1626,-4.694,-5.2352,-4.8769,-6.1389,-6.4038,-5.9872,2,2,2.15082388631E-06,0.000013277,5.81835211048E-06
"NM_001080527","MYO7B",6351,-3.9842,-4.4848,-4.1683,-5.5148,-99,-5.3955,2,2,7.07886484035E-06,6.7873461738E-05,3.27491475556E-05
"NM_001008910","STK16",918,-4.827,-5.3908,-5.003,-6.2175,-6.5646,-6.2355,2,2,0.00000146,9.93116048421E-06,4.0663054634E-06
"NM_207328","GPAT2",2388,-4.4174,-4.9474,-4.603,-5.9531,-6.0578,-5.8203,2,2,3.50194087867E-06,2.49459472694E-05,1.12875581324E-05
"NM_181342","FKBP7",669,-5.0367,-5.5951,-5.2118,-6.4542,-6.877,-6.3729,2,2,9.07878548687E-07,6.14044718106E-06,2.54038769232E-06
"NM_004490","GRB14",1623,-4.6745,-5.2166,-4.8628,-6.0985,-6.2574,-5.988,2,2,2.37793347828E-06,1.37151322594E-05,0.000006073
"NM_020864","NYAP2",1962,-4.4222,-4.886,-4.6258,-5.9443,-99,-5.9056,2,2,2.37963815053E-06,2.36700949469E-05,1.30016957803E-05
"NM_001161415","GPR17",1104,-4.6622,-5.164,-4.8407,-6.3802,-7.3441,-6.1553,2,2,1.16131551227E-06,1.44311187367E-05,6.85488226453E-06
"NM_019002","ETAA1",2781,-4.5293,-5.0966,-4.6981,-5.8825,-6.7213,-5.7541,2,2,3.26223697701E-06,2.00401053376E-05,8.00571268935E-06
"NM_019024","HEATR5B",6216,-4.0717,-4.6667,-4.2421,-5.3499,-5.826,-5.4048,2,2,0.000009898,5.72664155009E-05,2.1542693374E-05
"NM_001099218","RAD51AP2",3480,-4.4064,-4.9776,-4.5702,-5.772,-7.0521,-5.6567,2,2,3.98358482413E-06,0.000026903,1.05293121284E-05
"NM_138468","ICA1L",1449,-4.7667,-5.3454,-4.9436,-6.1477,-6.3198,-6.0372,2,2,2.10846531871E-06,1.13867556195E-05,4.51439961267E-06
"NM_001142300","CCNYL1",927,-5.0456,-5.644,-5.221,-6.4027,-6.5039,-6.2312,2,2,1.29625941728E-06,6.01173737483E-06,2.26986485188E-06
"NM_004304","ALK",4863,-4.0946,-4.6047,-4.2859,-5.6189,-5.8585,-5.5114,2,2,6.87042621121E-06,5.17726029051E-05,2.48484898545E-05
"NM_001114132","NBEAL1",8085,-4.291,-4.897,-4.4682,-5.5274,-5.8311,-5.2906,2,2,9.56583035488E-06,3.40251462027E-05,1.26765186586E-05
"NM_002807","PSMD1",2862,-4.432,-5.0053,-4.6124,-5.8077,-5.95,-5.7416,2,2,4.49206844722E-06,2.44118110605E-05,9.87870462171E-06
"NM_001171508","MCFD2",441,-5.258,-5.7633,-5.4492,-6.8719,-7.0694,-6.5539,2,2,4.98857584356E-07,3.55467581999E-06,1.72464613707E-06
"NM_006056","NMUR1",1281,-4.6041,-5.1154,-4.782,-6.2112,-7.1898,-6.0908,2,2,1.49082340697E-06,1.65196179823E-05,7.66655048689E-06
"NM_003581","NCK2",1143,-4.5267,-4.9683,-4.7363,-6.2855,-7.0419,-6.1403,2,2,1.33294176101E-06,1.83527014568E-05,1.07572187457E-05
"NM_006164","NFE2L2",1818,-4.6748,-5.2357,-4.842,-6.1155,-6.8073,-5.9387,2,2,2.07392170589E-06,0.000014388,5.81165733962E-06
"NM_019048","ASNSD1",1932,-4.6332,-5.2523,-4.7827,-5.9676,-7.0574,-5.9123,2,2,2.38884703247E-06,0.000016493,5.59371068162E-06
"NM_004226","STK17B",1119,-4.8791,-5.4764,-5.048,-6.1944,-6.5855,-6.1495,2,2,1.60762396978E-06,8.9536476555E-06,3.33887376725E-06
"NM_001039613","IAH1",747,-4.9497,-5.4622,-5.1471,-6.3894,-6.6511,-6.325,2,2,1.10440054068E-06,7.12688908546E-06,3.44984831363E-06
"NM_032312","YIPF4",735,-5.154,-5.7211,-5.341,-6.4603,-6.734,-6.332,2,2,9.9658505127E-07,4.56036915951E-06,1.90064059087E-06
"NM_031283","TCF7L1",1767,-4.5695,-5.0465,-4.7725,-6.2239,-6.33,-5.9511,2,2,2.1840880692E-06,0.000016885,8.98462592571E-06
"NM_001127401","YPEL5",366,-5.2011,-5.8657,-5.342,-6.4942,-7.3559,-6.6348,2,2,5.96391153495E-07,4.5498806015E-06,1.36238546003E-06
"NM_015680","CNPPD1",1233,-4.7153,-5.2595,-4.899,-6.0805,-6.5302,-6.1073,2,2,1.90687982612E-06,1.26182753459E-05,5.50173920511E-06
"NM_001080835","PRR21",1170,-4.6306,-5.1517,-4.7918,-6.7666,-7.6605,-6.1301,2,2,9.34151113449E-07,0.000016151,7.05180021862E-06
"NM_006037","HDAC4",3255,-4.1482,-4.6124,-4.3541,-5.865,-5.9787,-5.6858,2,2,4.47642990088E-06,4.42486474356E-05,2.44118110605E-05
"NM_016030","TRAPPC12",2208,-4.3622,-4.8123,-4.5758,-6.058,-6.245,-5.8543,2,2,2.84245756182E-06,2.65582833455E-05,1.54063585175E-05
"NM_007366","PLA2R1",4392,-4.2635,-4.8407,-4.4394,-5.6323,-5.8641,-5.5557,2,2,6.48089474282E-06,0.000036358,1.44311187367E-05
"NM_205847","GMPPA",1263,-4.6492,-5.1957,-4.8369,-5.996,-6.3299,-6.0969,2,2,2.27711418462E-06,1.45579425101E-05,6.37235555635E-06
"NM_019075","UGT1A10",1593,-4.6244,-5.1671,-4.7997,-6.0517,-6.7497,-5.9961,2,2,2.07474039581E-06,1.58598837611E-05,6.80612623801E-06
"NM_005760","CEBPZ",3165,-4.4137,-4.9812,-4.5838,-5.8659,-6.1745,-5.6979,2,2,4.03580565008E-06,2.60735400446E-05,1.04423921854E-05
"NM_001206840","TGOLN2",1443,-4.6191,-5.0568,-4.8269,-6.4341,-99,-6.039,2,2,1.28215746004E-06,0.000014897,0.000008774
"NM_004389","CTNNA2",2718,-4.3367,-4.8749,-4.5211,-5.7588,-6.0791,-5.7641,2,2,4.29757058009E-06,3.01231233378E-05,1.33382852217E-05
"NM_079420","MYL1",585,-5.0935,-5.6341,-5.2772,-6.6595,-6.6505,-6.4312,2,2,8.13152758981E-07,0.000005282,2.32220202801E-06
"NM_001256126","CERS6",1179,-4.7548,-5.2921,-4.9552,-6.0054,-6.4001,-6.1268,2,2,2.13245112625E-06,1.10866413898E-05,5.10387465387E-06
"NM_033066","MPP4",1914,-4.6032,-5.1481,-4.7777,-5.9533,-99,-5.9164,2,2,2.32579686453E-06,0.000016684,7.11049769542E-06
"NM_002193","INHBB",1224,-4.6294,-5.1262,-4.8116,-6.2993,-7.3602,-6.1105,2,2,0.000001321,1.54312106566E-05,7.47825035046E-06
"NM_018968","SNTG2",1620,-4.6669,-5.1349,-4.8636,-6.292,-99,-5.9888,2,2,1.53662936517E-06,1.3689891307E-05,7.32993291652E-06
"NM_004044","ATIC",1779,-4.586,-5.114,-4.7766,-6.0646,-6.1924,-5.9481,2,2,2.63082111386E-06,1.67263045466E-05,7.69130440287E-06
"NM_015530","GORASP2",1359,-4.7505,-5.2676,-4.9446,-6.211,-6.4275,-6.0651,2,2,1.84965252196E-06,1.13605668083E-05,5.40007759067E-06
"NM_005434","MALL",462,-5.0688,-5.4876,-5.3051,-6.7688,-6.8669,-6.5337,2,2,5.98774181627E-07,4.95336122316E-06,3.2538685178E-06
"NM_138802","ZFAND2B",774,-4.8804,-5.4772,-5.0495,-6.2687,-6.4472,-6.3096,2,2,0.000001386,8.92277619588E-06,3.33272899576E-06
"NM_001083953","THADA",5862,-4.1636,-4.7189,-4.3297,-5.5706,-99,-5.4303,2,2,6.40060558139E-06,4.68058352897E-05,1.91029306916E-05
"NM_002299","LCT",5784,-4.0438,-4.5512,-4.2333,-5.5055,-6.1437,-5.4361,2,2,7.50430479343E-06,5.84386264956E-05,2.81060620033E-05
"NM_144978","CCDC138",1998,-4.6161,-5.1692,-4.7994,-6.0276,-6.2201,-5.8977,2,2,2.80645708702E-06,1.58708431655E-05,6.77329514009E-06
"NM_194248","OTOF",5994,-3.9357,-4.4564,-4.1191,-5.5391,-5.6813,-5.4206,2,2,8.76971089959E-06,7.60151225499E-05,3.49623004003E-05
"NM_003162","STRN",2343,-4.5463,-5.1165,-4.7324,-5.8503,-6.0849,-5.8285,2,2,3.71822001537E-06,1.85182524364E-05,7.64715688439E-06
"NM_015690","STK36",3948,-4.2656,-4.8358,-4.4379,-5.7186,-5.9069,-5.6019,2,2,5.65161612535E-06,3.64837944296E-05,1.45948622378E-05
"NM_013233","STK39",1638,-4.6856,-5.224,-4.8865,-6.0374,-6.1365,-5.984,2,2,2.68531339899E-06,1.29867356383E-05,5.97035286584E-06
"NM_148961","OTOS",270,-5.354,-5.8358,-5.5765,-6.6825,-7.0521,-6.7669,2,2,4.67466459191E-07,2.65155109301E-06,1.45948622378E-06
"NM_177538","CYP20A1",1389,-4.757,-5.3283,-4.9401,-6.1038,-6.2822,-6.0556,2,2,2.18939649264E-06,1.14788927979E-05,4.69569629338E-06
"NM_007315","STAT1",2253,-4.4895,-5.0331,-4.679,-5.9246,-6.012,-5.8456,2,2,3.58926583806E-06,2.09411245585E-05,9.26616437494E-06
"NM_021209","NLRC4",3075,-4.4179,-4.9683,-4.5893,-5.861,-6.5101,-5.7105,2,2,3.6337689136E-06,2.57454211193E-05,1.07572187457E-05
"NM_001190329","ATP5G3",318,-5.3616,-5.9132,-5.5533,-6.632,-7.0509,-6.6959,2,2,5.23705193023E-07,0.000002797,1.22123713017E-06
"NM_003849","SUCLG1",1041,-4.9087,-5.4707,-5.0857,-6.4052,-6.482,-6.1809,2,2,1.38230428597E-06,8.2091841887E-06,0.000003383
"NM_022173","TIA1",1161,-4.8032,-5.429,-4.9822,-6.0333,-6.1904,-6.1335,2,2,2.30660964186E-06,1.04183753499E-05,3.72391706255E-06
"NM_030650","KIAA1715",1287,-4.8306,-5.4252,-5.0164,-6.0428,-6.3405,-6.0887,2,2,0.000002178,9.62941712972E-06,3.75664364614E-06
"NM_001099285","PTMA",336,-5.2423,-5.7006,-5.4649,-6.9545,-6.7618,-6.672,2,2,4.96920473386E-07,3.42846720833E-06,1.9925076615E-06
"NM_001875","CPS1",4503,-4.245,-4.8292,-4.4136,-5.7448,-5.7799,-5.5448,2,2,0.000006312,3.85833559905E-05,1.48183551752E-05
"NM_003236","TGFA",483,-5.0731,-5.5604,-5.2791,-6.6335,-6.7219,-6.5144,2,2,7.28169974953E-07,0.000005259,2.75169313281E-06
"NM_001079526","IKZF2",1503,-4.6971,-5.2943,-4.8601,-6.0379,-6.569,-6.0214,2,2,2.13812443555E-06,1.38006645597E-05,5.07808539665E-06
"NM_001198595","STON1",2208,-4.6002,-5.1712,-4.7681,-5.9198,-7.0753,-5.8543,2,2,2.68552049382E-06,1.70568959424E-05,6.74217467576E-06
"NM_144708","ANKAR",4305,-4.3225,-4.9113,-4.4886,-5.7095,-6.0487,-5.5643,2,2,5.57310682721E-06,3.24638482788E-05,1.22659163896E-05
"NM_007282","RNF13",1146,-4.8741,-5.4392,-5.0449,-6.4776,-6.4497,-6.1391,2,2,0.000001414,9.01778755934E-06,3.63747485643E-06
"NM_003656","CAMK1",1113,-4.7374,-5.249,-4.9393,-6.2338,-6.2479,-6.1518,2,2,1.85379859074E-06,1.1500057187E-05,5.63637655826E-06
"NM_004628","XPC",2823,-4.3789,-4.9434,-4.5404,-5.8043,-99,-5.7476,2,2,3.35741215941E-06,2.88137643484E-05,0.000011392
"NM_024046","CAMKV",1506,-4.6204,-5.1751,-4.7919,-6.2217,-6.281,-6.0205,2,2,2.07769971981E-06,1.61473031942E-05,6.68190043411E-06
"NM_014498","GOLIM4",2091,-4.5271,-5.0921,-4.7215,-5.708,-6.1849,-5.878,2,2,3.93646716753E-06,1.8988908421E-05,8.0890961941E-06
"NM_130837","OPA1",3048,-4.4047,-5.0351,-4.5742,-5.6465,-5.9054,-5.7143,2,2,5.43083911607E-06,2.66563081347E-05,9.22359021688E-06
"NM_000094","COL7A1",8835,-3.7945,-4.3618,-3.9738,-5.2983,-5.2373,-5.2521,2,2,1.64181022985E-05,0.0001062185,0.000043471
"NM_002207","ITGA9",3108,-4.3172,-4.8378,-4.5074,-5.8706,-5.9257,-5.7058,2,2,4.50248138298E-06,3.10885165988E-05,1.4527804937E-05
"NM_206963","RARRES1",885,-5.102,-5.7145,-5.2691,-6.4158,-6.7029,-6.2514,2,2,1.14261379373E-06,5.38145855587E-06,1.92974533619E-06
"NM_001130064","GAP43",825,-5.0164,-5.5087,-5.2044,-6.691,-7.2005,-6.2819,2,2,7.89243831386E-07,0.000006246,3.09955965984E-06
"NM_001098213","HRH1",1464,-4.6707,-5.2372,-4.8351,-6.0465,-7.6159,-6.0328,2,2,1.84993520089E-06,1.46184053448E-05,5.79161921083E-06
"NM_152678","FAM116A",1827,-4.5999,-5.1858,-4.7874,-5.8712,-6.038,-5.9366,2,2,3.41863874671E-06,1.63154854392E-05,6.51928549134E-06
"NM_203370","FAM212A",864,-4.8598,-5.4963,-4.9919,-6.4204,-7.5153,-6.2618,2,2,9.57635436994E-07,1.01882595439E-05,3.18933398013E-06
"NM_004267","CHST2",1593,-4.5025,-4.9918,-4.6872,-6.1692,-7.9178,-5.9961,2,2,1.69843373959E-06,2.05494404135E-05,1.01906057475E-05
"NM_006371","CRTAP",1206,-4.714,-5.2155,-4.9055,-6.2831,-6.587,-6.117,2,2,1.5437317905E-06,1.24308263584E-05,6.08835545761E-06
"NM_001190241","IFT80",1923,-4.6122,-5.2052,-4.7914,-5.9119,-6.1063,-5.9143,2,2,3.22593470715E-06,1.61659041695E-05,6.23447661105E-06
"NM_017699","SIDT1",2484,-4.4157,-4.949,-4.6001,-6.027,-5.9686,-5.8032,2,2,0.000003588,2.51130811487E-05,0.000011246
"NM_001101337","C3ORF79",303,-5.511,-6.0704,-5.6794,-6.9023,-99,-6.7169,2,2,3.17138641594E-07,2.09218459495E-06,8.50354472E-07
"NM_001031703","C3ORF75",801,-4.8831,-5.3862,-5.0727,-6.6357,-6.5743,-6.2947,2,2,1.005209002E-06,8.45862944818E-06,4.10960423252E-06
"NM_001040061","C3ORF72",528,-5.0055,-5.5033,-5.1904,-6.692,-7.2029,-6.4757,2,2,6.00337491073E-07,6.45059833285E-06,3.13834005643E-06
"NM_001123040","C3ORF71",873,-4.7154,-5.1976,-4.9044,-6.3919,-7.8299,-6.2573,2,2,9.73364408529E-07,1.24623516049E-05,6.34453795776E-06
"NM_001025266","C3ORF70",753,-4.8866,-5.3508,-5.0871,-6.5174,-7.7018,-6.3215,2,2,8.00658467351E-07,8.18276351348E-06,4.45861527948E-06
"NM_003030","SHOX2",1068,-4.6998,-5.1379,-4.9263,-6.1815,-6.8128,-6.1697,2,2,1.48885190323E-06,1.18494993098E-05,7.27947401324E-06
"NM_003365","UQCRC1",1443,-4.5833,-5.1569,-4.747,-6.174,-6.2693,-6.039,2,2,2.1218959382E-06,1.79060585404E-05,6.96786936762E-06
"NM_003907","EIF2B5",2166,-4.4901,-5.0677,-4.6646,-5.8367,-6.1723,-5.8627,2,2,3.50080582932E-06,2.1647113787E-05,8.55657576098E-06
"NM_004157","PRKAR2A",1215,-4.7689,-5.3299,-4.9484,-6.2158,-6.3429,-6.1137,2,2,1.83212319521E-06,1.12615974691E-05,4.67842853684E-06
"NM_001195432","MLF1",900,-4.994,-5.6422,-5.1729,-6.1136,-6.4506,-6.2441,2,2,1.69419569903E-06,6.71583472933E-06,2.27929217743E-06
"NM_001123228","TMEM14E",378,-5.3349,-5.8823,-5.507,-6.7773,-7.661,-6.6208,2,2,4.28262782846E-07,3.11171633711E-06,1.31129377644E-06
"NM_001164000","MECOM",3129,-4.3841,-4.9194,-4.5606,-5.9204,-6.2767,-5.7029,2,2,0.000003712,2.75042622303E-05,1.20392657222E-05
"NM_023067","FOXL2",1131,-4.7024,-5.1267,-4.9165,-6.6288,-99,-6.1449,2,2,9.51379838907E-07,1.21199268877E-05,7.46964565078E-06
"NM_152240","ZMAT3",867,-4.9003,-5.4891,-5.0706,-6.2905,-6.5243,-6.2603,2,2,1.36045250253E-06,8.4996295945E-06,3.2426494399E-06
"NM_005126","NR1D2",1740,-4.6687,-5.2796,-4.8219,-6.0802,-6.5518,-5.9578,2,2,2.21410011042E-06,1.50695401523E-05,5.2529104845E-06
"NM_001039783","TXNRD3NB",402,-5.2973,-5.8192,-5.494,-6.6044,-7.3621,-6.5941,2,2,5.46722012808E-07,3.20626932451E-06,1.51635190079E-06
"NM_003716","CADPS",4062,-4.2238,-4.7728,-4.4066,-5.6438,-5.8658,-5.5896,2,2,6.20574649465E-06,3.92102850919E-05,1.68732989063E-05
"NM_022072","NSUN3",1023,-4.9049,-5.4546,-5.0959,-6.1719,-6.6516,-6.1884,2,2,1.54421778286E-06,8.01862677837E-06,3.51075077185E-06
"NM_006952","UPK1B",783,-4.9724,-5.5342,-5.1535,-6.3745,-6.5616,-6.3046,2,2,1.19249904838E-06,7.02263343736E-06,2.92280606593E-06
"NM_004366","CLCN2",2697,-4.3085,-4.8739,-4.4765,-5.8712,-5.989,-5.7674,2,2,4.07933368926E-06,3.33810505166E-05,0.000013369
"NM_015873","VILL",2571,-4.3411,-4.8582,-4.5305,-5.8817,-6.0341,-5.7882,2,2,3.8661378134E-06,2.94781347661E-05,1.38611735124E-05
"NM_001184717","TIPARP",1974,-4.64,-5.2305,-4.8049,-5.9333,-6.7556,-5.903,2,2,2.59181258503E-06,1.56711186941E-05,5.88166114143E-06
"NM_016089","ZNF589",1095,-4.848,-5.4151,-5.0329,-6.0338,-6.8685,-6.1589,2,2,1.75407261191E-06,9.27043258405E-06,0.000003845
"NM_054110","GALNTL2",1920,-4.5487,-5.1094,-4.7229,-5.9449,-6.3921,-5.915,2,2,2.75687336671E-06,1.89277939703E-05,7.77320282798E-06
"NM_182916","TRNT1",1305,-4.8163,-5.3981,-4.9831,-6.2312,-6.5688,-6.0827,2,2,1.68372582682E-06,1.03968074293E-05,3.99852669681E-06
"NM_020890","KIAA1524",2718,-4.4918,-5.0692,-4.6671,-5.8997,-6.0532,-5.7641,2,2,0.000003866,2.15228609548E-05,8.52707337344E-06
"NM_025163","PIGZ",1740,-4.5583,-5.0527,-4.7441,-6.1412,-7.5958,-5.9578,2,2,1.84984670009E-06,0.000018026,8.85727237258E-06
"NM_013336","SEC61A1",1431,-4.6434,-5.1733,-4.8337,-6.0725,-6.3118,-6.0427,2,2,2.24036410074E-06,1.46656055528E-05,6.70965206462E-06
"NM_170714","RASSF1",1035,-4.7697,-5.3484,-4.9324,-6.453,-6.3437,-6.1834,2,2,1.46112262199E-06,1.16842273817E-05,4.48332270433E-06
"NM_003865","HESX1",558,-5.1556,-5.7182,-5.3377,-6.4944,-6.8804,-6.4517,2,2,8.05463298272E-07,4.5951532517E-06,1.91337458054E-06
"NM_024616","C3ORF52",654,-5.2595,-5.8057,-5.4201,-6.9484,-99,-6.3827,2,2,5.26901729151E-07,0.000003801,1.56422779981E-06
"NM_001130002","C3ORF55",408,-5.57,-6.0608,-5.7584,-7.106,-99,-6.5877,2,2,3.36747421178E-07,1.74421493156E-06,8.69360692509E-07
"NM_001165928","DAG1",2688,-4.355,-4.8857,-4.5219,-5.9928,-7.3485,-5.7689,2,2,2.76409019547E-06,3.00676855697E-05,1.30106801363E-05
"NM_018397","CHDH",1785,-4.587,-5.0862,-4.7731,-6.2673,-6.5684,-5.9467,2,2,1.94110443903E-06,1.68616472691E-05,8.19973845457E-06
"NM_001128304","PLSCR4",990,-4.8975,-5.5206,-5.0511,-6.377,-6.5089,-6.2027,2,2,1.35661910657E-06,0.00000889,3.01578238365E-06
"NM_001085420","PLSCR5",816,-5.0639,-5.6289,-5.2319,-6.3777,-99,-6.2866,2,2,0.000000936,5.86273143353E-06,2.35017390609E-06
"NM_001199978","PLSCR2",894,-5.0991,-5.6938,-5.2723,-6.4222,-6.6995,-6.247,2,2,1.14426371147E-06,0.000005342,0.000002024
"NM_021105","PLSCR1",957,-4.9538,-5.5238,-5.1351,-6.3231,-6.515,-6.2174,2,2,1.38689566193E-06,7.3265581348E-06,2.99364294274E-06
"NM_207359","GADL1",1566,-4.8983,-5.4816,-5.0689,-6.4105,-6.4009,-6.0035,2,2,1.77785385393E-06,0.000008533,3.29913433789E-06
"NM_003212","TDGF1",567,-5.0204,-5.6123,-5.1766,-6.6808,-6.6607,-6.4447,2,2,7.8613888047E-07,6.65886177686E-06,2.4417432735E-06
"NM_016388","TRAT1",561,-5.1386,-5.7512,-5.3162,-6.3714,-6.6554,-6.4493,2,2,1.0016980762E-06,4.82836396455E-06,1.77337262454E-06
"NM_000249","MLH1",2271,-4.5166,-5.0928,-4.6906,-5.9877,-6.0331,-5.8421,2,2,3.39381043023E-06,2.03891912707E-05,8.07606861329E-06
"NM_032316","NICN1",642,-4.9202,-5.4709,-5.0888,-6.6111,-6.6511,-6.3908,2,2,8.74786283554E-07,8.15079555612E-06,3.38142687474E-06
"NM_173546","KLHDC8B",1065,-4.7481,-5.367,-4.8832,-6.5494,-6.7483,-6.171,2,2,1.13528135782E-06,1.30857916125E-05,4.29536426765E-06
"NM_001190811","DAZL",948,-4.9686,-5.5781,-5.144,-6.3059,-6.3805,-6.2215,2,2,1.51129624927E-06,7.17794291271E-06,2.64180039026E-06
"NM_032025","EIF2A",1758,-4.7509,-5.2926,-4.9204,-6.2053,-99,-5.9533,2,2,1.73682919549E-06,1.20115761794E-05,0.000005098
"NM_138806","CD200R1",1047,-4.8727,-5.4052,-5.058,-6.3897,-6.5283,-6.1784,2,2,1.36707221161E-06,8.74983775227E-06,3.93368880673E-06
"NM_014240","LIMD1",2031,-4.5213,-5.0395,-4.7063,-6.0064,-6.5102,-5.8906,2,2,2.58072976754E-06,1.96652739142E-05,9.13061435293E-06
"NM_022340","ZFYVE20",2355,-4.4521,-5.0333,-4.6231,-5.7518,-6.3602,-5.8263,2,2,0.000003699,2.38177098318E-05,9.26189813096E-06
"NM_015576","ERC2",2868,-4.4063,-4.9706,-4.5815,-5.6385,-99,-5.7407,2,2,4.11556391908E-06,0.000026212,1.07003996873E-05
"NM_032787","GPR128",2394,-4.513,-5.0779,-4.6861,-6.0346,-6.1044,-5.8192,2,2,3.22609466652E-06,2.06015549032E-05,0.000008358
"NM_003571","BFSP2",1248,-4.6675,-5.2079,-4.8506,-6.0409,-6.574,-6.1021,2,2,1.96730526696E-06,1.41058739931E-05,6.19583723078E-06
"NM_006070","TFG",1203,-4.7961,-5.3953,-4.9713,-6.0029,-6.5643,-6.118,2,2,2.02813309046E-06,1.06831665728E-05,4.02438943314E-06
"NM_032047","B3GNT5",1137,-4.8312,-5.391,-4.9972,-6.2331,-7.658,-6.1426,2,2,1.32674596573E-06,1.00646806644E-05,4.06443329165E-06
"NM_005017","PCYT1A",1104,-4.743,-5.293,-4.9301,-6.1051,-6.3652,-6.1553,2,2,1.91573397815E-06,1.17462705592E-05,5.09330871057E-06
"NM_001134415","TBCCD1",1674,-4.6712,-5.2389,-4.8428,-6.0241,-6.6551,-5.9746,2,2,2.22750760906E-06,1.43615065291E-05,0.000005769
"NM_000539","RHO",1047,-4.6749,-5.1477,-4.8714,-6.4168,-6.7368,-6.1784,2,2,1.22944894598E-06,1.34462134153E-05,0.000007117
"NM_014575","SCHIP1",1464,-4.7227,-5.247,-4.9117,-6.1416,-6.5533,-6.0328,2,2,1.9287335442E-06,1.22546242641E-05,5.66239289038E-06
