"gene","gene_upper","codingLenInTarget"
"ADAMTSL2","ADAMTSL2",2856
"ADAMTSL3","ADAMTSL3",5076
"ADAMTSL5","ADAMTSL5",1416
"ADAP2","ADAP2",1146
"ADAR","ADAR",3681
"ADARB2","ADARB2",2220
"ADAT1","ADAT1",1509
"ADAT2","ADAT2",576
"ADAT3","ADAT3",1076
"ADC","ADC",1383
"ADCK1","ADCK1",1572
"ADCK2","ADCK2",1881
"ADCK3","ADCK3",1944
"ADCK4","ADCK4",1635
"ADCK5","ADCK5",1743
"ADCY10","ADCY10",4833
"ADCY2","ADCY2",3276
"ADCY3","ADCY3",3435
"ADCY4","ADCY4",3234
"ADCY6","ADCY6",3507
"ADCY7","ADCY7",3243
"ADCY8","ADCY8",3756
"ADCYAP1","ADCYAP1",531
"ADCYAP1R1","ADCYAP1R1",1407
"ADD2","ADD2",2374
"ADGB","ADGB",5004
"ADH1A","ADH1A",1128
"ADH1B","ADH1B",1128
"ADH1C","ADH1C",1128
"ADH4","ADH4",1143
"ADH5","ADH5",1125
"ADH6","ADH6",1132
"ADH7","ADH7",1239
"ADHFE1","ADHFE1",1404
"ADI1","ADI1",540
"ADIG","ADIG",243
"ADIPOQ","ADIPOQ",735
"ADIPOR1","ADIPOR1",1128
"ADIPOR2","ADIPOR2",1161
"ADIRF","ADIRF",231
"ADK","ADK",1103
"ADM","ADM",558
"ADM2","ADM2",447
"ADM5","ADM5",462
"ADO","ADO",813
"ADORA1","ADORA1",981
"ADORA2A","ADORA2A",1239
"ADORA2B","ADORA2B",999
"ADORA3","ADORA3",1758
"ADPGK","ADPGK",1491
"ADPRH","ADPRH",1074
"ADPRHL1","ADPRHL1",1065
"ADPRHL2","ADPRHL2",1092
"ADRA1A","ADRA1A",1521
"ADRA1B","ADRA1B",1563
"ADRA1D","ADRA1D",1719
"ADRA2B","ADRA2B",1344
"ADRA2C","ADRA2C",1389
"ADRB1","ADRB1",1434
"ADRB2","ADRB2",1242
"ADRB3","ADRB3",1227
"ADRM1","ADRM1",1224
"ADSL","ADSL",1455
"ADSS","ADSS",1371
"ADSSL1","ADSSL1",1695
"ADTRP","ADTRP",747
"AEBP1","AEBP1",3477
"AEN","AEN",978
"AES","AES",822
"AFAP1L1","AFAP1L1",2307
"AFAP1L2","AFAP1L2",2457
"AFF1","AFF1",3674
"AFG3L2","AFG3L2",2394
"AFMID","AFMID",927
"AFTPH","AFTPH",2814
"AGA","AGA",1041
"AGAP11","AGAP11",1617
"AGAP4","AGAP4",1768
"AGAP5","AGAP5",1770
"AGAP6","AGAP6",104
"AGAP7","AGAP7",1869
"AGAP8","AGAP8",1735
"AGBL1","AGBL1",3201
"AGBL2","AGBL2",2595
"AGBL3","AGBL3",2763
"AGBL4","AGBL4",1512
"AGER","AGER",97
"AGFG1","AGFG1",1761
"AGFG2","AGFG2",1446
"AGGF1","AGGF1",2145
"AGL","AGL",4664
"AGMAT","AGMAT",1059
"AGMO","AGMO",1338
"AGO2","AGO2",2580
"AGO3","AGO3",2583
"AGO4","AGO4",2586
"AGPAT1","AGPAT1",96
"AGPAT2","AGPAT2",837
"AGPAT4","AGPAT4",1137
"AGPAT6","AGPAT6",1371
"AGPAT9","AGPAT9",1305
"AGPS","AGPS",1977
"AGR2","AGR2",528
"AGR3","AGR3",501
"AGRP","AGRP",399
"AGTR1","AGTR1",1100
"AGTR2","AGTR2",1092
"AGXT","AGXT",1179
"AGXT2","AGXT2",1545
"AHCTF1","AHCTF1",6828
"AHCY","AHCY",1299
"AHCYL1","AHCYL1",1593
"AHCYL2","AHCYL2",1893
"AHR","AHR",2547
"AHRR","AHRR",2160
"AHSA1","AHSA1",1017
"AHSA2","AHSA2",414
"AHSG","AHSG",1104
"AHSP","AHSP",309
"AICDA","AICDA",597
"AIDA","AIDA",921
"AIF1","AIF1",172
"AIF1L","AIF1L",453
"AIFM1","AIFM1",1981
"AIFM2","AIFM2",1122
"AIFM3","AIFM3",1836
"AIG1","AIG1",717
"AIM1","AIM1",5172
"AIM1L","AIM1L",3307
"AIMP1","AIMP1",1011
"AIMP2","AIMP2",963
"AIP","AIP",993
"AIPL1","AIPL1",1155
"AJAP1","AJAP1",1236
"AK2","AK2",725
"AK3","AK3",684
"AK4","AK4",672
"AK5","AK5",1689
"AK7","AK7",2172
"AK8","AK8",1440
"AK9","AK9",5748
"AKAP10","AKAP10",1989
"AKAP11","AKAP11",5706
"AKAP12","AKAP12",5374
"AKAP14","AKAP14",603
"AKAP17A","AKAP17A",4176
"AKAP2","AKAP2",2886
"AKAP3","AKAP3",2562
"AKAP5","AKAP5",1284
"AKAP7","AKAP7",1127
"AKAP8","AKAP8",2079
"AKAP8L","AKAP8L",1941
"AKIP1","AKIP1",633
"AKIRIN1","AKIRIN1",579
"AKIRIN2","AKIRIN2",612
"AKNAD1","AKNAD1",2511
"AKR1B1","AKR1B1",951
"AKR1B10","AKR1B10",951
"AKR1C1","AKR1C1",972
"AKR1C3","AKR1C3",992
"AKR1C4","AKR1C4",972
"AKR1E2","AKR1E2",963
"AKR7A2","AKR7A2",1080
"AKR7A3","AKR7A3",996
"AKT1S1","AKT1S1",778
"AKTIP","AKTIP",879
"ALAD","ALAD",993
"ALAS1","ALAS1",1923
"ALAS2","ALAS2",1836
"ALB","ALB",1830
"ALCAM","ALCAM",1764
"ALDH16A1","ALDH16A1",2409
"ALDH1A1","ALDH1A1",1506
"ALDH1A2","ALDH1A2",1557
"ALDH1A3","ALDH1A3",1539
"ALDH1B1","ALDH1B1",1554
"ALDH1L2","ALDH1L2",2772
"ALDH2","ALDH2",1554
"ALDH3A2","ALDH3A2",1542
"ALDH3B1","ALDH3B1",1404
"ALDH3B2","ALDH3B2",1158
"ALDH4A1","ALDH4A1",1692
"ALDH6A1","ALDH6A1",1608
"ALDH7A1","ALDH7A1",1640
"ALDH8A1","ALDH8A1",1464
"ALDH9A1","ALDH9A1",1557
"ALDOB","ALDOB",1095
"ALG1","ALG1",1037
"ALG10B","ALG10B",1422
"ALG11","ALG11",1479
"ALG12","ALG12",1467
"ALG13","ALG13",3548
"ALG14","ALG14",651
"ALG1L","ALG1L",180
"ALG1L2","ALG1L2",393
"ALG2","ALG2",1251
"ALG3","ALG3",1369
"ALG5","ALG5",975
"ALG6","ALG6",1524
"ALG8","ALG8",1581
"ALK","ALK",4863
"ALKBH1","ALKBH1",1170
"ALKBH2","ALKBH2",786
"ALKBH3","ALKBH3",861
"ALKBH4","ALKBH4",909
"ALKBH5","ALKBH5",1185
"ALKBH6","ALKBH6",801
"ALKBH7","ALKBH7",666
"ALKBH8","ALKBH8",1995
"ALLC","ALLC",1176
"ALOX12","ALOX12",1992
"ALOX12B","ALOX12B",2106
"ALOX15","ALOX15",1989
"ALOX15B","ALOX15B",2031
"ALOX5","ALOX5",2025
"ALOX5AP","ALOX5AP",521
"ALOXE3","ALOXE3",2532
"ALPI","ALPI",1587
"ALPK1","ALPK1",3735
"ALPK2","ALPK2",6513
"ALPK3","ALPK3",5724
"ALPL","ALPL",1575
"ALPP","ALPP",1608
"ALPPL2","ALPPL2",1599
"ALS2CL","ALS2CL",2862
"ALS2CR11","ALS2CR11",5610
"ALS2CR12","ALS2CR12",1338
"ALX1","ALX1",981
"ALX3","ALX3",1032
"ALX4","ALX4",1236
"ALYREF","ALYREF",795
"AMACR","AMACR",1203
"AMBN","AMBN",1344
"AMD1","AMD1",1005
"AMDHD1","AMDHD1",1281
"AMDHD2","AMDHD2",1823
"AMELX","AMELX",618
"AMELY","AMELY",579
"AMER1","AMER1",3408
"AMER2","AMER2",2016
"AMER3","AMER3",2586
"AMFR","AMFR",1932
"AMH","AMH",1683
"AMHR2","AMHR2",1722
"AMICA1","AMICA1",1198
"AMIGO1","AMIGO1",1482
"AMIGO2","AMIGO2",1569
"AMIGO3","AMIGO3",1515
"AMMECR1","AMMECR1",1002
"AMN","AMN",1362
"AMN1","AMN1",777
"AMOT","AMOT",3255
"AMOTL2","AMOTL2",2363
"AMPD1","AMPD1",2303
"AMPD3","AMPD3",2347
"AMT","AMT",1236
"AMTN","AMTN",630
"AMY1A","AMY1A",3906
"AMY1B","AMY1B",3906
"AMY1C","AMY1C",3906
"AMY2A","AMY2A",1410
"AMZ2","AMZ2",1083
"ANAPC10","ANAPC10",570
"ANAPC11","ANAPC11",591
"ANAPC13","ANAPC13",225
"ANAPC15","ANAPC15",378
"ANAPC16","ANAPC16",333
"ANAPC2","ANAPC2",2469
"ANAPC4","ANAPC4",2427
"ANAPC5","ANAPC5",2268
"ANAPC7","ANAPC7",1804
"ANG","ANG",444
"ANGEL1","ANGEL1",2013
"ANGEL2","ANGEL2",1635
"ANGPT1","ANGPT1",1497
"ANGPT4","ANGPT4",1512
"ANGPTL1","ANGPTL1",1476
"ANGPTL2","ANGPTL2",1482
"ANGPTL3","ANGPTL3",1383
"ANGPTL5","ANGPTL5",1167
"ANGPTL6","ANGPTL6",1413
"ANGPTL7","ANGPTL7",1041
"ANKAR","ANKAR",4305
"ANKDD1A","ANKDD1A",1483
"ANKEF1","ANKEF1",2331
"ANKFY1","ANKFY1",3513
"ANKH","ANKH",1479
"ANKIB1","ANKIB1",3270
"ANKLE1","ANKLE1",1893
"ANKLE2","ANKLE2",2817
"ANKMY1","ANKMY1",3093
"ANKRA2","ANKRA2",942
"ANKRD1","ANKRD1",960
"ANKRD10","ANKRD10",1263
"ANKRD12","ANKRD12",6189
"ANKRD13A","ANKRD13A",1773
"ANKRD13B","ANKRD13B",1881
"ANKRD13C","ANKRD13C",1626
"ANKRD13D","ANKRD13D",1818
"ANKRD16","ANKRD16",1086
"ANKRD18A","ANKRD18A",2979
"ANKRD2","ANKRD2",1083
"ANKRD20A1","ANKRD20A1",1954
"ANKRD20A2","ANKRD20A2",2978
"ANKRD20A3","ANKRD20A3",4932
"ANKRD20A4","ANKRD20A4",1592
"ANKRD22","ANKRD22",576
"ANKRD24","ANKRD24",3441
"ANKRD26","ANKRD26",5133
"ANKRD27","ANKRD27",3153
"ANKRD28","ANKRD28",3162
"ANKRD29","ANKRD29",906
"ANKRD30A","ANKRD30A",4026
"ANKRD31","ANKRD31",5622
"ANKRD32","ANKRD32",3177
"ANKRD33","ANKRD33",1424
"ANKRD33B","ANKRD33B",1485
"ANKRD34A","ANKRD34A",1491
"ANKRD34B","ANKRD34B",1545
"ANKRD34C","ANKRD34C",1608
"ANKRD35","ANKRD35",3006
"ANKRD36","ANKRD36",5185
"ANKRD36B","ANKRD36B",3610
"ANKRD37","ANKRD37",477
"ANKRD39","ANKRD39",552
"ANKRD40","ANKRD40",1107
"ANKRD42","ANKRD42",1170
"ANKRD49","ANKRD49",720
"ANKRD53","ANKRD53",1720
"ANKRD54","ANKRD54",903
"ANKRD55","ANKRD55",1845
"ANKRD6","ANKRD6",2184
"ANKRD65","ANKRD65",1200
"ANKRD66","ANKRD66",687
"ANKRD7","ANKRD7",765
"ANKRD9","ANKRD9",954
"ANKS1A","ANKS1A",3405
"ANKS1B","ANKS1B",4046
"ANKS3","ANKS3",1971
"ANKS4B","ANKS4B",1254
"ANKS6","ANKS6",2616
"ANKUB1","ANKUB1",1635
"ANKZF1","ANKZF1",2181
"ANLN","ANLN",3375
"ANO1","ANO1",2961
"ANO10","ANO10",1983
"ANO2","ANO2",3000
"ANO4","ANO4",2763
"ANO7","ANO7",2874
"ANO8","ANO8",3699
"ANP32B","ANP32B",756
"ANP32C","ANP32C",705
"ANP32E","ANP32E",807
"ANPEP","ANPEP",2904
"ANTXR1","ANTXR1",1764
"ANXA1","ANXA1",1041
"ANXA10","ANXA10",975
"ANXA11","ANXA11",1518
"ANXA13","ANXA13",1074
"ANXA2","ANXA2",1074
"ANXA2R","ANXA2R",582
"ANXA3","ANXA3",972
"ANXA4","ANXA4",966
"ANXA5","ANXA5",963
"ANXA6","ANXA6",2022
"ANXA7","ANXA7",1467
"ANXA8","ANXA8",2014
"ANXA8L1","ANXA8L1",1007
"ANXA8L2","ANXA8L2",984
"ANXA9","ANXA9",1038
"AOAH","AOAH",1748
"AOC1","AOC1",2276
"AOC2","AOC2",2271
"AOX1","AOX1",4017
"AP1G2","AP1G2",2358
"AP1M1","AP1M1",1308
"AP1M2","AP1M2",1272
"AP1S1","AP1S1",477
"AP1S3","AP1S3",465
"AP2M1","AP2M1",1308
"AP3B1","AP3B1",3285
"AP3M2","AP3M2",1257
"AP3S1","AP3S1",582
"AP3S2","AP3S2",582
"AP4B1","AP4B1",2220
"AP4E1","AP4E1",3414
"AP4S1","AP4S1",609
"AP5B1","AP5B1",2486
"AP5M1","AP5M1",1473
"AP5S1","AP5S1",603
"AP5Z1","AP5Z1",2424
"APBA2","APBA2",2250
"APBA3","APBA3",1728
"APBB1IP","APBB1IP",2001
"APBB2","APBB2",2280
"APBB3","APBB3",1482
"APCDD1","APCDD1",1545
"APCS","APCS",672
"APEH","APEH",2199
"APH1B","APH1B",774
"API5","API5",1575
"APIP","APIP",729
"APITD1","APITD1",417
"APITD1-CORT","APITD1-CORT",636
"APLF","APLF",1536
"APLN","APLN",234
"APLNR","APLNR",1143
"APLP2","APLP2",2292
"APMAP","APMAP",1251
"APOA1","APOA1",804
"APOA1BP","APOA1BP",867
"APOA2","APOA2",303
"APOA4","APOA4",1191
"APOBEC1","APOBEC1",711
"APOBEC2","APOBEC2",675
"APOBEC3A","APOBEC3A",600
"APOBEC3A_B","APOBEC3A_B",600
"APOBEC3B","APOBEC3B",1149
"APOBEC3C","APOBEC3C",573
"APOBEC3D","APOBEC3D",1161
"APOBEC3F","APOBEC3F",1257
"APOBEC3G","APOBEC3G",1155
"APOBEC3H","APOBEC3H",612
"APOBEC4","APOBEC4",1104
"APOC1","APOC1",252
"APOC2","APOC2",306
"APOC3","APOC3",300
"APOC4","APOC4",384
"APOD","APOD",570
"APOF","APOF",981
"APOH","APOH",1038
"APOL1","APOL1",1245
"APOL2","APOL2",1014
"APOL3","APOL3",1209
"APOL5","APOL5",1302
"APOL6","APOL6",1032
"APOLD1","APOLD1",843
"APOM","APOM",181
"APOO","APOO",597
"APOOL","APOOL",807
"APOPT1","APOPT1",621
"APPBP2","APPBP2",1758
"APPL1","APPL1",2130
"APPL2","APPL2",2013
"APRT","APRT",543
"APTX","APTX",1076
"AQP1","AQP1",810
"AQP10","AQP10",906
"AQP11","AQP11",816
"AQP12A","AQP12A",888
"AQP12B","AQP12B",924
"AQP2","AQP2",816
"AQP3","AQP3",879
"AQP4","AQP4",972
"AQP5","AQP5",798
"AQP6","AQP6",849
"AQP7","AQP7",1029
"AQP8","AQP8",786
"AQP9","AQP9",888
"AR","AR",2783
"ARAF","ARAF",1834
"ARAP1","ARAP1",4353
"ARAP3","ARAP3",4635
"ARC","ARC",1191
"ARCN1","ARCN1",1536
"AREG","AREG",1518
"ARF1","ARF1",546
"ARF5","ARF5",543
"ARFGAP1","ARFGAP1",1251
"ARFGAP2","ARFGAP2",1566
"ARFGEF2","ARFGEF2",5358
"ARFIP1","ARFIP1",1122
"ARFIP2","ARFIP2",1046
"ARFRP1","ARFRP1",610
"ARG1","ARG1",989
"ARGFX","ARGFX",831
"ARGLU1","ARGLU1",822
"ARHGAP1","ARHGAP1",1320
"ARHGAP10","ARHGAP10",2361
"ARHGAP11B","ARHGAP11B",804
"ARHGAP12","ARHGAP12",2541
"ARHGAP15","ARHGAP15",1428
"ARHGAP17","ARHGAP17",2646
"ARHGAP18","ARHGAP18",1992
"ARHGAP19","ARHGAP19",1485
"ARHGAP22","ARHGAP22",2117
"ARHGAP24","ARHGAP24",2359
"ARHGAP25","ARHGAP25",1981
"ARHGAP26","ARHGAP26",2445
"ARHGAP27","ARHGAP27",2488
"ARHGAP28","ARHGAP28",1713
"ARHGAP29","ARHGAP29",3786
"ARHGAP31","ARHGAP31",4335
"ARHGAP35","ARHGAP35",4500
"ARHGAP36","ARHGAP36",1644
"ARHGAP39","ARHGAP39",3345
"ARHGAP4","ARHGAP4",2961
"ARHGAP40","ARHGAP40",2025
"ARHGAP42","ARHGAP42",2625
"ARHGAP44","ARHGAP44",2457
"ARHGAP6","ARHGAP6",3047
"ARHGAP8","ARHGAP8",1302
"ARHGAP9","ARHGAP9",2196
"ARHGDIA","ARHGDIA",615
"ARHGDIB","ARHGDIB",606
"ARHGDIG","ARHGDIG",678
"ARHGEF1","ARHGEF1",2784
"ARHGEF10","ARHGEF10",4035
"ARHGEF15","ARHGEF15",2526
"ARHGEF18","ARHGEF18",3522
"ARHGEF19","ARHGEF19",2409
"ARHGEF25","ARHGEF25",1957
"ARHGEF26","ARHGEF26",2616
"ARHGEF28","ARHGEF28",4948
"ARHGEF33","ARHGEF33",2483
"ARHGEF35","ARHGEF35",1455
"ARHGEF37","ARHGEF37",2028
"ARHGEF38","ARHGEF38",660
"ARHGEF39","ARHGEF39",1008
"ARHGEF40","ARHGEF40",4560
"ARHGEF5","ARHGEF5",4794
"ARHGEF6","ARHGEF6",2331
"ARHGEF9","ARHGEF9",1551
"ARID3A","ARID3A",1782
"ARID3B","ARID3B",1683
"ARID3C","ARID3C",1239
"ARID5A","ARID5A",1785
"ARID5B","ARID5B",3567
"ARIH2","ARIH2",1482
"ARIH2OS","ARIH2OS",873
"ARL1","ARL1",546
"ARL11","ARL11",591
"ARL13A","ARL13A",771
"ARL14","ARL14",579
"ARL14EP","ARL14EP",783
"ARL15","ARL15",615
"ARL16","ARL16",594
"ARL17A","ARL17A",793
"ARL17B","ARL17B",534
"ARL2","ARL2",555
"ARL2BP","ARL2BP",492
"ARL3","ARL3",549
"ARL4A","ARL4A",603
"ARL4C","ARL4C",579
"ARL4D","ARL4D",606
"ARL5A","ARL5A",540
"ARL5C","ARL5C",540
"ARL6","ARL6",561
"ARL6IP1","ARL6IP1",612
"ARL6IP4","ARL6IP4",1151
"ARL6IP5","ARL6IP5",567
"ARL8A","ARL8A",561
"ARL8B","ARL8B",561
"ARL9","ARL9",372
"ARMC1","ARMC1",849
"ARMC10","ARMC10",1032
"ARMC12","ARMC12",1104
"ARMC2","ARMC2",2604
"ARMC4","ARMC4",3135
"ARMC5","ARMC5",3122
"ARMC7","ARMC7",597
"ARMC8","ARMC8",2046
"ARMC9","ARMC9",1998
"ARMCX2","ARMCX2",1899
"ARMCX3","ARMCX3",1140
"ARMCX5-GPRASP2","ARMCX5-GPRASP2",2517
"ARMS2","ARMS2",324
"ARNT","ARNT",2370
"ARNTL","ARNTL",1889
"ARNTL2","ARNTL2",1944
"ARPC1A","ARPC1A",1113
"ARPC1B","ARPC1B",1119
"ARPC2","ARPC2",903
"ARPC3","ARPC3",537
"ARPC4","ARPC4",564
"ARPC4-TTLL3","ARPC4-TTLL3",1878
"ARPC5","ARPC5",465
"ARPC5L","ARPC5L",462
"ARPP19","ARPP19",339
"ARR3","ARR3",1167
"ARRB2","ARRB2",1293
"ARRDC1","ARRDC1",1302
"ARRDC2","ARRDC2",1483
"ARRDC4","ARRDC4",1257
"ARRDC5","ARRDC5",1029
"ARSA","ARSA",1530
"ARSD","ARSD",1782
"ARSE","ARSE",1770
"ARSF","ARSF",1773
"ARSG","ARSG",1578
"ARSH","ARSH",1689
"ARSI","ARSI",1710
"ARSJ","ARSJ",1800
"ART1","ART1",984
"ART3","ART3",1170
"ART4","ART4",945
"ART5","ART5",876
"ARTN","ARTN",687
"ARV1","ARV1",816
"AS3MT","AS3MT",1128
"ASAH1","ASAH1",1335
"ASAH2B","ASAH2B",498
"ASAP1","ASAP1",3390
"ASAP2","ASAP2",3021
"ASAP3","ASAP3",2735
"ASB1","ASB1",1008
"ASB10","ASB10",1675
"ASB12","ASB12",950
"ASB13","ASB13",837
"ASB15","ASB15",1767
"ASB16","ASB16",1362
"ASB17","ASB17",888
"ASB18","ASB18",1401
"ASB2","ASB2",1764
"ASB4","ASB4",1353
"ASB5","ASB5",990
"ASB6","ASB6",1266
"ASB9","ASB9",914
"ASCC1","ASCC1",1074
"ASCC3","ASCC3",6704
"ASCL1","ASCL1",711
"ASCL2","ASCL2",582
"ASCL3","ASCL3",546
"ASCL4","ASCL4",522
"ASGR1","ASGR1",876
"ASGR2","ASGR2",936
"ASIC1","ASIC1",1725
"ASIC2","ASIC2",2247
"ASIC3","ASIC3",1711
"ASIC4","ASIC4",1944
"ASIC5","ASIC5",1518
"ASIP","ASIP",399
"ASMT","ASMT",2076
"ASMTL","ASMTL",3732
"ASNA1","ASNA1",1047
"ASNS","ASNS",1686
"ASNSD1","ASNSD1",1932
"ASPA","ASPA",942
"ASPDH","ASPDH",884
"ASPG","ASPG",1722
"ASPH","ASPH",2989
"ASPHD1","ASPHD1",1173
"ASPHD2","ASPHD2",1110
"ASPN","ASPN",1143
"ASPRV1","ASPRV1",1032
"ASPSCR1","ASPSCR1",1662
"ASRGL1","ASRGL1",927
"ASS1","ASS1",1239
"ASTE1","ASTE1",2040
"ASTL","ASTL",1296
"ASTN1","ASTN1",3889
"ASTN2","ASTN2",3904
"ASUN","ASUN",2121
"ASZ1","ASZ1",1428
"ATAD1","ATAD1",1086
"ATAD3A","ATAD3A",1905
"ATAD3B","ATAD3B",1947
"ATAD3C","ATAD3C",1236
"ATCAY","ATCAY",1116
"ATE1","ATE1",1686
"ATF1","ATF1",816
"ATF2","ATF2",1522
"ATF3","ATF3",606
"ATF4","ATF4",1056
"ATF5","ATF5",849
"ATF6","ATF6",2013
"ATF6B","ATF6B",2112
"ATF7","ATF7",1505
"ATF7IP2","ATF7IP2",2049
"ATG10","ATG10",663
"ATG12","ATG12",423
"ATG13","ATG13",1554
"ATG14","ATG14",1479
"ATG16L1","ATG16L1",1824
"ATG16L2","ATG16L2",1860
"ATG3","ATG3",980
"ATG4A","ATG4A",1197
"ATG4B","ATG4B",1202
"ATG4C","ATG4C",1377
"ATG4D","ATG4D",1453
"ATG5","ATG5",828
"ATG7","ATG7",2112
"ATG9B","ATG9B",2774
"ATHL1","ATHL1",2214
"ATL1","ATL1",1677
"ATL2","ATL2",1860
"ATL3","ATL3",1626
"ATOH1","ATOH1",1065
"ATOH7","ATOH7",459
"ATOH8","ATOH8",966
"ATOX1","ATOX1",207
"ATP10B","ATP10B",4386
"ATP11A","ATP11A",3654
"ATP12A","ATP12A",3138
"ATP13A1","ATP13A1",3615
"ATP13A4","ATP13A4",3591
"ATP13A5","ATP13A5",3657
"ATP1B2","ATP1B2",873
"ATP1B3","ATP1B3",840
"ATP1B4","ATP1B4",1074
"ATP2A3","ATP2A3",3203
"ATP2B1","ATP2B1",3817
"ATP2B3","ATP2B3",3817
"ATP2C1","ATP2C1",2856
"ATP2C2","ATP2C2",2841
"ATP4B","ATP4B",876
"ATP5C1","ATP5C1",901
"ATP5D","ATP5D",507
"ATP5E","ATP5E",156
"ATP5F1","ATP5F1",771
"ATP5G1","ATP5G1",411
"ATP5G2","ATP5G2",597
"ATP5G3","ATP5G3",433
"ATP5H","ATP5H",486
"ATP5I","ATP5I",210
"ATP5J","ATP5J",351
"ATP5J2","ATP5J2",285
"ATP5J2-PTCD1","ATP5J2-PTCD1",2244
"ATP5L","ATP5L",312
"ATP5L2","ATP5L2",303
"ATP5O","ATP5O",642
"ATP5S","ATP5S",698
"ATP5SL","ATP5SL",810
"ATP6AP1","ATP6AP1",1413
"ATP6AP1L","ATP6AP1L",675
"ATP6AP2","ATP6AP2",1053
"ATP6V0A2","ATP6V0A2",2571
"ATP6V0A4","ATP6V0A4",2523
"ATP6V0B","ATP6V0B",618
"ATP6V0C","ATP6V0C",468
"ATP6V0D2","ATP6V0D2",1053
"ATP6V0E1","ATP6V0E1",246
"ATP6V0E2","ATP6V0E2",736
"ATP6V1B1","ATP6V1B1",1542
"ATP6V1C1","ATP6V1C1",1149
"ATP6V1C2","ATP6V1C2",1284
"ATP6V1D","ATP6V1D",744
"ATP6V1E1","ATP6V1E1",681
"ATP6V1E2","ATP6V1E2",681
"ATP6V1F","ATP6V1F",360
"ATP6V1G1","ATP6V1G1",357
"ATP6V1G2","ATP6V1G2",357
"ATP6V1G3","ATP6V1G3",403
"ATP6V1H","ATP6V1H",1452
"ATP7A","ATP7A",4503
"ATP7B","ATP7B",4398
"ATP8A1","ATP8A1",3569
"ATP8A2","ATP8A2",3567
"ATP8B1","ATP8B1",3756
"ATP8B3","ATP8B3",3941
"ATP8B4","ATP8B4",3579
"ATP9B","ATP9B",3444
"ATPAF1","ATPAF1",1007
"ATPAF2","ATPAF2",870
"ATPIF1","ATPIF1",362
"ATRAID","ATRAID",855
"ATRIP","ATRIP",2376
"ATRN","ATRN",4310
"ATRNL1","ATRNL1",4160
"ATXN10","ATXN10",1428
"ATXN1L","ATXN1L",2070
"ATXN2","ATXN2",3942
"ATXN2L","ATXN2L",3456
"ATXN3","ATXN3",1086
"ATXN3L","ATXN3L",1068
"ATXN7","ATXN7",2838
"ATXN7L1","ATXN7L1",2675
"ATXN7L2","ATXN7L2",2169
"ATXN7L3","ATXN7L3",1065
"ATXN7L3B","ATXN7L3B",294
"AUH","AUH",1020
"AUNIP","AUNIP",1074
"AUP1","AUP1",1233
"AURKAIP1","AURKAIP1",600
"AURKC","AURKC",931
"AVEN","AVEN",1089
"AVIL","AVIL",2460
"AVL9","AVL9",1947
"AVP","AVP",495
"AVPI1","AVPI1",444
"AVPR1A","AVPR1A",1257
"AVPR1B","AVPR1B",1275
"AVPR2","AVPR2",1136
"AWAT1","AWAT1",987
"AWAT2","AWAT2",1002
"AXDND1","AXDND1",3039
"AXIN1","AXIN1",2589
"AXIN2","AXIN2",2532
"AXL","AXL",2685
"AZGP1","AZGP1",897
"AZI1","AZI1",3243
"AZU1","AZU1",756
"B2M","B2M",360
"B3GALNT1","B3GALNT1",996
"B3GALNT2","B3GALNT2",1520
"B3GALT1","B3GALT1",981
"B3GALT2","B3GALT2",1269
"B3GALT4","B3GALT4",1137
"B3GALT5","B3GALT5",933
"B3GALT6","B3GALT6",990
"B3GALTL","B3GALTL",1497
"B3GAT2","B3GAT2",972
"B3GAT3","B3GAT3",1008
"B3GNT1","B3GNT1",1248
"B3GNT2","B3GNT2",1194
"B3GNT3","B3GNT3",1119
"B3GNT4","B3GNT4",1137
"B3GNT6","B3GNT6",1156
"B3GNT7","B3GNT7",1206
"B3GNT8","B3GNT8",1194
"B3GNT9","B3GNT9",1209
"B3GNTL1","B3GNTL1",1086
"B4GALNT2","B4GALNT2",1715
"B4GALNT3","B4GALNT3",2997
"B4GALNT4","B4GALNT4",3120
"B4GALT1","B4GALT1",1197
"B4GALT2","B4GALT2",1139
"B4GALT4","B4GALT4",1035
"B4GALT6","B4GALT6",1149
"B4GALT7","B4GALT7",984
"B9D2","B9D2",528
"BAALC","BAALC",438
"BAAT","BAAT",1257
"BABAM1","BABAM1",990
"BACE1","BACE1",1506
"BACE2","BACE2",1557
"BACH1","BACH1",2211
"BAD","BAD",507
"BAG1","BAG1",1038
"BAG2","BAG2",636
"BAG3","BAG3",1728
"BAG4","BAG4",1374
"BAG5","BAG5",1467
"BAGE","BAGE",14
"BAGE2","BAGE2",229
"BAGE3","BAGE3",229
"BAGE4","BAGE4",14
"BAGE5","BAGE5",14
"BAHCC1","BAHCC1",7662
"BAHD1","BAHD1",2343
"BAIAP2","BAIAP2",1740
"BAIAP2L2","BAIAP2L2",1590
"BAIAP3","BAIAP3",3564
"BAK1","BAK1",636
"BAMBI","BAMBI",783
"BANF1","BANF1",270
"BANF2","BANF2",294
"BANK1","BANK1",2358
"BANP","BANP",1494
"BARD1","BARD1",2334
"BARHL1","BARHL1",984
"BARHL2","BARHL2",1164
"BARX1","BARX1",765
"BARX2","BARX2",840
"BATF","BATF",378
"BATF2","BATF2",825
"BATF3","BATF3",384
"BAX","BAX",762
"BBC3","BBC3",786
"BBOX1","BBOX1",1164
"BBS1","BBS1",1782
